"species_id","hindfoot_length","hindfoot_half"
"NL",28,14
"NL",21,10.5
"NL",21,10.5
"NL",29,14.5
"NL",29,14.5
"DM",25,12.5
"PF",15,7.5
"PF",16,8
"PF",15,7.5
"PF",14,7
"PF",14,7
"PF",16,8
"PF",15,7.5
"PF",16,8
"PF",14,7
"PF",15,7.5
"PF",17,8.5
"PF",15,7.5
"PF",16,8
"PF",17,8.5
"PE",20,10
"PE",19,9.5
"PE",26,13
"PE",22,11
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",19,9.5
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",19,9.5
"PE",18,9
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",19,9.5
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",19,9.5
"PE",21,10.5
"PE",21,10.5
"PE",19,9.5
"PE",20,10
"PE",18,9
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",18,9
"PE",19,9.5
"PE",21,10.5
"PE",20,10
"PE",21,10.5
"PE",22,11
"PE",19,9.5
"PE",21,10.5
"PE",21,10.5
"PE",14,7
"PE",20,10
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",19,9.5
"PE",21,10.5
"PE",21,10.5
"PE",19,9.5
"PE",21,10.5
"PE",22,11
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",22,11
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",22,11
"PE",21,10.5
"PE",21,10.5
"PE",22,11
"PE",21,10.5
"PE",22,11
"PE",22,11
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",19,9.5
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",22,11
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",22,11
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PP",22,11
"PP",20,10
"PP",21,10.5
"PP",20,10
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",24,12
"PP",24,12
"PP",22,11
"PP",20,10
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",20,10
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",19,9.5
"PP",19,9.5
"PP",21,10.5
"PP",19,9.5
"PP",20,10
"PP",23,11.5
"PP",21,10.5
"PP",23,11.5
"PP",19,9.5
"PP",20,10
"PP",18,9
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",20,10
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",19,9.5
"PP",21,10.5
"PP",24,12
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",24,12
"PP",21,10.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",20,10
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",21,10.5
"PP",21,10.5
"PP",20,10
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",24,12
"PP",22,11
"PP",21,10.5
"PP",20,10
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",27,13.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
